Я0382    ;Кладовщик;Отдел контроля качества;;;;;1;;1;;;;;1;1;;;1
Я0381    ;Обработчик ветсанбрака;Отдел контроля качества;;;;;1;;1;;;;;1;;;;1
Я0347    ;Руководитель отдела (отдела контроля качества);Отдел контроля качества;1;1;1;1;1;1;1;;1;1;;1;1;1;1;1
1801     ;Старший ветеринарный врач;Отдел контроля качества;1;1;1;1;1;1;1;;1;1;;1;1;1;1;1
Я0355    ;Старший ветеринарный врач (сменный);Отдел контроля качества;1;1;1;1;1;1;1;;1;1;;1;1;1;1;1
Я0248    ;Бренд  менеджер;Отдел маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0259    ;Бренд  менеджер (1 категории);Отдел маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0052    ;Дизайнер-верстальщик;Отдел маркетинга;1;;;;1;;1;;;;;;1;;;1
212Р     ;Координатор (отдел маркетинга);Отдел маркетинга;1;;;;1;;1;;;;;;1;;;1
218      ;Маркетолог-аналитик;Отдел маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0044    ;Менеджер по продвижению;Отдел маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0282    ;Координатор (ООРП);Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
Я0213    ;Менеджер ;Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
Я0238    ;Менеджер (В2В);Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
Я0149    ;Менеджер (розничных продаж);Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
Я0282-1  ;Мерчендайзер (ООРП);Отдел оптовых и розничных продаж;;;;;;;;;;;;;;;;1
10113    ;Руководитель отдела оптовых и розничных продаж;Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
Я0285    ;Супервайзер (ООРП);Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
Я0286    ;Торговый представитель;Отдел оптовых и розничных продаж;;;;;1;;1;;;;;;1;;;1
1111.    ;Инженер по организации и нормированию труда;Отдел организации труда, компенсаций и льгот;1;;;;1;;1;;;;;1;1;;;1
Я0400    ;Инженер по организации и нормированию труда (2 категории);Отдел организации труда, компенсаций и льгот;1;;;;1;;1;;;;;1;1;;;1
1011     ;Нормировщик;Отдел организации труда, компенсаций и льгот;1;;;;1;;1;;;;;1;1;;;1
Я0016    ;Руководитель отдела;Отдел организации труда, компенсаций и льгот;1;;;;1;;1;;;;;1;1;;;1
1114     ;Экономист  по компенсациям и льготам;Отдел организации труда, компенсаций и льгот;1;;;;1;;1;;;;;1;1;;;1
99РЗ     ;Экономист по труду;Отдел организации труда, компенсаций и льгот;1;;;;1;;1;;;;;1;1;;;1
1019     ;Медицинская сестра;Отдел охраны труда и промышленной безопасности;;;;;;;1;;;;;;1;;;1
Я0324    ;Руководитель отдела (охрана труда);Отдел охраны труда и промышленной безопасности;1;;1;1;1;1;1;;;;;1;1;1;1;1
1099     ;Специалист по ГО и ЧС;Отдел охраны труда и промышленной безопасности;1;;1;1;1;1;1;;;;;1;1;1;1;1
886Р     ;Специалист по охране труда и технике безопасеости;Отдел охраны труда и промышленной безопасности;1;;1;1;1;1;1;;;;;1;1;1;1;1
99РС3    ;Эколог;Отдел охраны труда и промышленной безопасности;1;;1;1;1;1;1;;;;;1;1;1;1;1
Я0365    ;Администратор;Отдел по внутреннему учету и администрированию;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1034     ;Администратор (дежурный);Отдел по внутреннему учету и администрированию;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10000    ;Администратор (сменный);Отдел по внутреннему учету и администрированию;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Я0027    ;Руководитель отдела;Отдел по внутреннему учету и администрированию;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0012л    ;Старший учетчик;Отдел по внутреннему учету и администрированию;1;;;1;1;1;1;;;;;1;1;1;1;1
99РСл    ;Учетчик;Отдел по внутреннему учету и администрированию;1;;;1;1;1;1;;;;;1;1;1;1;1
К86      ;Инженер по защите информации;Отдел по защите информации;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Я0298    ;Руководитель отдела (по защите информации);Отдел по защите информации;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15512    ;Специалист (по тестированию);Отдел по защите информации;1;;;;1;;1;;;;;;1;;;1
Я0363    ;Ассистент (по закупу вспомогательных материалов);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
Я0364    ;Ассистент (по закупу имущества технического назначения);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
Я0095    ;Менеджер (по закупу  имущества технического назначения);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
1038     ;Менеджер (по закупу вспомогательных материалов);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
1036     ;Менеджер (по закупу мясосырья);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
1037     ;Менеджер (по закупу упаковочных материалов);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
К97      ;Менеджер (по закупу);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
167Р     ;Помощник менеджера;Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
Я0291    ;Руководитель отдела (Отдел по обеспечению);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
Я0268    ;Старший менеджер (по закупу);Отдел по обеспечению;1;;;;1;;1;;;;;;1;;;1
Я0406    ;Ассисстент менеджера проектов;Отдел по планированию, управлению и реконструкции инфраструктурой;1;;;;1;;1;;; ; ; ;1;;;1
01124    ;Менеджер по управлению инфраструктурой;Отдел по планированию, управлению и реконструкции инфраструктурой;1;;;;1;;1;;;1;1;1;1;;;1
248      ;Менеджер проектов;Отдел по планированию, управлению и реконструкции инфраструктурой;1;;;;1;;1;;; ; ; ;1;;;1
1116     ;Рабочий по комплексному обслуживанию и ремонту зданий;Отдел по планированию, управлению и реконструкции инфраструктурой;1;;;;1;;1;;;1;1;1;1;;;1
Я0402    ;"Руководитель проекта ""Супермаркет""";Отдел по планированию, управлению и реконструкции инфраструктурой;1;;;;1;;1;;; ; ; ;1;;;1
1002     ;Электрогазосварщик;Отдел по планированию, управлению и реконструкции инфраструктурой;1;;;;1;;1;;;1;1;1;1;;;1
Я0403    ;Менеджер;Отдел подбора, обучения и развития персонала;1;;;;1;;1;;;;;;1;;;1
Я0393    ;Менеджер по подбору персонала;Отдел подбора, обучения и развития персонала;1;;;;1;;1;;;;;;1;;;1
Я0394    ;Менеджер по подбору персонала (1 кат.);Отдел подбора, обучения и развития персонала;1;;;;1;;1;;;;;;1;;;1
Я0404    ;Менеджер по подбору персонала (2 кат.);Отдел подбора, обучения и развития персонала;1;;;;1;;1;;;;;;1;;;1
Я0412    ;Руководитель отдела (подбора, обучения и развития персонала);Отдел подбора, обучения и развития персонала;1;;;;1;;1;;;;;;1;;;1
Я0391    ;Тренинг-менеджер;Отдел подбора, обучения и развития персонала;1;;;;1;;1;;;;;;1;;;1
Я0227    ;Директор по продажам транснациональным и федеральным клиентам;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0175-2  ;Координатор (ТИФ);Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0261    ;Курьер;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
205      ;Менеджер;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
206Р     ;Мерчендайзер;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0405    ;Старший супервайзер ;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0283    ;Супервайзер (IIкат);Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
